call_id,paper_id,condition,repeat,model,temperature,top_p,min_p,input_sha256,status,latency_seconds,timestamp,raw_response_path
EP-19,Keller2012,Condition A (Full),1,gemma-4-31b-it,0.35,0.9,0.1,c025228bf9ada0708d53de13344eec137ea7ca2e0f0d509634631f94f3fdebc1,COMPLETED_SUCCESS,233.19,2026-08-24T17:47:44.208273+00:00,content/raw_responses/evidence_prior_202608/EP-19.json
EP-20,Keller2012,Condition A (Full),2,gemma-4-31b-it,0.35,0.9,0.1,c025228bf9ada0708d53de13344eec137ea7ca2e0f0d509634631f94f3fdebc1,COMPLETED_SUCCESS,92.17,2026-08-24T17:51:37.405314+00:00,content/raw_responses/evidence_prior_202608/EP-20.json
EP-21,Keller2012,Condition A (Full),3,gemma-4-31b-it,0.35,0.9,0.1,c025228bf9ada0708d53de13344eec137ea7ca2e0f0d509634631f94f3fdebc1,COMPLETED_SUCCESS,92.37,2026-08-24T17:53:09.585312+00:00,content/raw_responses/evidence_prior_202608/EP-21.json
EP-22,Keller2012,Condition B (Abstract),1,gemma-4-31b-it,0.35,0.9,0.1,3e90eed196c08bbe77005db821a967baeb8ef3d4304aeeff107eb34d4488c0ba,COMPLETED_SUCCESS,86.31,2026-08-24T17:54:41.964783+00:00,content/raw_responses/evidence_prior_202608/EP-22.json
EP-23,Keller2012,Condition B (Abstract),2,gemma-4-31b-it,0.35,0.9,0.1,3e90eed196c08bbe77005db821a967baeb8ef3d4304aeeff107eb34d4488c0ba,COMPLETED_SUCCESS,78.96,2026-08-24T17:56:08.275111+00:00,content/raw_responses/evidence_prior_202608/EP-23.json
EP-24,Keller2012,Condition B (Abstract),3,gemma-4-31b-it,0.35,0.9,0.1,3e90eed196c08bbe77005db821a967baeb8ef3d4304aeeff107eb34d4488c0ba,COMPLETED_SUCCESS,81.32,2026-08-24T17:57:27.242008+00:00,content/raw_responses/evidence_prior_202608/EP-24.json
EP-25,Keller2012,Condition C (Masked),1,gemma-4-31b-it,0.35,0.9,0.1,5b5a95d55551fa53aabb9b301b1bb12f52223831bdf6461e5d75baf9e3c9b504,COMPLETED_SUCCESS,237.21,2026-08-24T17:58:48.571865+00:00,content/raw_responses/evidence_prior_202608/EP-25.json
EP-26,Keller2012,Condition C (Masked),2,gemma-4-31b-it,0.35,0.9,0.1,5b5a95d55551fa53aabb9b301b1bb12f52223831bdf6461e5d75baf9e3c9b504,COMPLETED_SUCCESS,89.42,2026-08-24T18:02:45.793551+00:00,content/raw_responses/evidence_prior_202608/EP-26.json
EP-27,Keller2012,Condition C (Masked),3,gemma-4-31b-it,0.35,0.9,0.1,5b5a95d55551fa53aabb9b301b1bb12f52223831bdf6461e5d75baf9e3c9b504,COMPLETED_SUCCESS,90.45,2026-08-24T18:04:15.218624+00:00,content/raw_responses/evidence_prior_202608/EP-27.json
EP-28,Furutachi2024,Condition A (Full),1,gemma-4-31b-it,0.35,0.9,0.1,73211329b15cd528b8ed67a092e60c37a94050d0a8d9c0e76eded9178c110fa4,COMPLETED_SUCCESS,315.07,2026-08-24T18:05:45.676365+00:00,content/raw_responses/evidence_prior_202608/EP-28.json
EP-29,Furutachi2024,Condition A (Full),2,gemma-4-31b-it,0.35,0.9,0.1,73211329b15cd528b8ed67a092e60c37a94050d0a8d9c0e76eded9178c110fa4,COMPLETED_SUCCESS,98.99,2026-08-24T18:11:00.753637+00:00,content/raw_responses/evidence_prior_202608/EP-29.json
EP-30,Furutachi2024,Condition A (Full),3,gemma-4-31b-it,0.35,0.9,0.1,73211329b15cd528b8ed67a092e60c37a94050d0a8d9c0e76eded9178c110fa4,COMPLETED_SUCCESS,99.65,2026-08-24T18:12:39.750688+00:00,content/raw_responses/evidence_prior_202608/EP-30.json
EP-31,Furutachi2024,Condition B (Abstract),1,gemma-4-31b-it,0.35,0.9,0.1,1b76dc1d5960bc9381babda4d3682c5150aef6fdd2669492c1d63ffbd58c89d0,COMPLETED_SUCCESS,93.17,2026-08-24T18:14:19.404444+00:00,content/raw_responses/evidence_prior_202608/EP-31.json
EP-32,Furutachi2024,Condition B (Abstract),2,gemma-4-31b-it,0.35,0.9,0.1,1b76dc1d5960bc9381babda4d3682c5150aef6fdd2669492c1d63ffbd58c89d0,COMPLETED_SUCCESS,81.39,2026-08-24T18:15:52.579721+00:00,content/raw_responses/evidence_prior_202608/EP-32.json
EP-33,Furutachi2024,Condition B (Abstract),3,gemma-4-31b-it,0.35,0.9,0.1,1b76dc1d5960bc9381babda4d3682c5150aef6fdd2669492c1d63ffbd58c89d0,COMPLETED_SUCCESS,83.83,2026-08-24T18:17:13.973656+00:00,content/raw_responses/evidence_prior_202608/EP-33.json
