study_name,LO-F01,LO-F02,LO-F03,LO-F04,LO-F05,LO-F06,LO-F07,LO-F08,LO-F09,LO-F10,LO-F11,LO-F12,LO-F13,LO-F14,LO-F15,LO-F16,LO-F17,LO-F18,LO-F19,LO-F20,LO-F21,LO-F22,LO-F23,LO-F24,LO-F25,LO-F26,LO-F27,LO-F28,LO-F29,LO-F30,LO-F31,LO-F32,LO-F33,LO-F34,LO-F35,LO-F36,GO-F01,GO-F02,GO-F03,GO-F04,GO-F05,GO-F06,GO-F07,GO-F08,GO-F09,GO-F10,GO-F11,GO-F12,GO-F13,GO-F14,GO-F15,GO-F16,GO-F17,GO-F18,GO-F19,GO-F20,GO-F21,GO-F22,GO-F23,GO-F24,GO-F25,GO-F26,GO-F27,GO-F28,GO-F29,GO-F30,GO-F31,GO-F32,GO-F33,GO-F34,GO-F35,GO-F36,agent_,year_,type_,LO-count,LO-H1-avg,LO-H1-std,LO-H2-avg,LO-H2-std,LO-H3-avg,LO-H3-std,GO-count,GO-H1-avg,GO-H1-std,GO-H2-avg,GO-H2-std,GO-H3-avg,GO-H3-std
Nejad2025,,,,,,0.2,0.6,,,,,0.6,0.2,,,,-1.0,,,,,0.2,-0.6,0.6,0.6,0.2,0.0,,0.0,0.0,0.2,0.2,,0.2,0.0,,,,,,,0.2,0.6,,,,,0.6,0.2,,,,-1.0,,,,,0.2,-0.6,0.6,0.6,0.2,0.0,,0.0,0.0,0.2,0.2,,0.2,0.0,,human_consensus,2026.0,human_panel,17,0.467,0.189,-0.12,0.588,0.156,0.183,17,0.467,0.189,-0.12,0.588,0.156,0.183
Payeur2021,0.0,0.0,0.0,,0.2,0.2,,,0.2,0.2,,,0.0,0.0,0.0,,-0.6,,,,0.0,,-0.6,,0.2,0.6,0.6,,0.2,0.2,,,,0.6,0.2,,0.0,0.0,0.0,,,0.2,,,0.2,0.2,,,0.0,0.0,0.0,,-0.6,,,,0.0,,-0.6,,0.2,0.6,0.6,,0.2,0.2,,,,0.6,0.2,,human_consensus,2026.0,human_panel,20,0.114,0.099,-0.2,0.283,0.371,0.198,19,0.1,0.1,-0.2,0.283,0.371,0.198
Rao&Ballard1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,human_consensus,2026.0,human_panel,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Rao2024,0.2,,,,,0.6,,,,0.2,,0.6,0.6,,,,0.6,0.6,0.6,,0.2,,0.6,0.6,0.6,0.6,0.6,,,0.6,0.6,0.2,,0.6,0.2,,0.2,,,,,0.6,,,,0.2,,0.6,0.6,,,,0.6,0.6,0.6,,0.2,,0.6,0.6,0.6,0.6,0.6,,,0.6,0.6,0.2,,0.6,0.2,,human_consensus,2026.0,human_panel,19,0.4,0.2,0.543,0.14,0.5,0.173,19,0.4,0.2,0.543,0.14,0.5,0.173
Sacramento2018,1.0,,0.6,,,0.6,,,,,0.6,,-0.2,,,,-1.0,,,,,,-0.6,,0.6,0.6,0.6,,,0.2,,0.2,0.2,0.6,0.2,,1.0,,0.6,,,0.6,,,,,0.6,,-0.2,,,,-1.0,,,,,,-0.6,,0.6,0.6,0.6,,,0.2,,0.2,0.2,0.6,0.2,,human_consensus,2026.0,human_panel,15,0.7,0.173,-0.6,0.327,0.4,0.2,15,0.7,0.173,-0.6,0.327,0.4,0.2
Spratling2008,0.6,0.6,0.2,,,0.6,0.2,,,0.6,,,1.0,,,,1.0,,,,0.6,,1.0,,0.2,0.6,0.2,,,0.2,,,,0.2,,,0.6,0.6,0.2,,,0.6,0.2,,,0.6,,,1.0,,,,1.0,,,,0.6,,1.0,,0.2,0.6,0.2,,,0.2,,,,0.2,,,human_consensus,2026.0,human_panel,15,0.467,0.189,0.9,0.173,0.28,0.16,15,0.467,0.189,0.9,0.173,0.28,0.16
Spratling2010,-0.2,1.0,0.2,,,1.0,0.6,,,0.2,,,0.0,,,,0.2,,,,,,0.0,0.0,0.2,0.6,0.2,,0.2,0.2,,0.6,,0.2,0.2,,-0.2,1.0,0.2,,,1.0,0.6,,,0.2,,,0.0,,,,0.2,,,,,,0.0,0.0,0.2,0.6,0.2,,0.2,0.2,,0.6,,0.2,0.2,,human_consensus,2026.0,human_panel,18,0.467,0.442,0.05,0.087,0.3,0.173,18,0.467,0.442,0.05,0.087,0.3,0.173
Srinivasan1982,1.0,,0.6,,,1.0,0.2,,,0.2,0.2,,0.6,,,,0.2,,,,,,0.6,0.2,,0.0,0.0,,,0.0,,0.6,,0.0,0.6,,0.0,,0.0,,,0.0,0.0,,,0.2,0.0,,0.0,,,,0.0,,,,,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,,human_consensus,2026.0,human_panel,16,0.533,0.359,0.4,0.2,0.2,0.283,16,0.033,0.075,0.0,0.0,0.0,0.0
VanDerveer2021,1.0,0.0,0.6,0.6,0.6,0.6,0.2,0.6,0.2,0.2,,,0.2,,,0.6,0.0,0.2,0.2,0.2,0.2,,0.2,0.2,0.2,0.6,0.2,,0.6,0.6,0.6,0.6,,0.6,0.2,,0.6,0.0,0.6,,,0.2,,0.2,0.2,0.2,,,0.2,,,0.2,-0.2,0.2,0.2,0.2,0.2,,0.2,,0.2,0.6,0.2,,0.6,0.6,0.2,0.6,,0.6,0.2,,human_consensus,2026.0,human_panel,28,0.46,0.284,0.222,0.147,0.467,0.189,24,0.286,0.21,0.15,0.132,0.422,0.199
Wacongne2011,,,,0.0,-0.6,1.0,,,,,,1.0,0.2,,,,0.2,,,,0.2,0.6,0.2,,,0.2,0.6,,,0.2,,,,0.2,,0.2,,,,,,1.0,,,,,,1.0,0.6,,,,0.2,,,,0.6,0.6,0.6,,,0.2,0.6,,,0.2,,,,0.2,,-0.2,human_consensus,2026.0,human_panel,14,0.35,0.684,0.28,0.16,0.28,0.16,12,1.0,0.0,0.52,0.16,0.2,0.253
Wacongne2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,human_consensus,2026.0,human_panel,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Westerberg&Xiong2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,human_consensus,2026.0,human_panel,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Yamins2014,,,,,,,,,,,,,,,,,,,,,0.2,,,,,0.2,,,,0.2,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,0.2,,,,0.2,,,,0.2,,,human_consensus,2026.0,human_panel,4,0.0,0.0,0.2,0.0,0.2,0.0,4,0.0,0.0,0.2,0.0,0.2,0.0
