call_id,paper_id,condition,repeat,scientific_model,temperature,top_p,min_p,input_markdown_file,input_sha256,status,execution_timestamp
EP-20,Keller2012,Condition A (Full),2,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Keller2012__CondA_Full.md,c025228bf9ada0708d53de13344eec137ea7ca2e0f0d509634631f94f3fdebc1,PREPARED_UNEXECUTED,
EP-21,Keller2012,Condition A (Full),3,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Keller2012__CondA_Full.md,c025228bf9ada0708d53de13344eec137ea7ca2e0f0d509634631f94f3fdebc1,PREPARED_UNEXECUTED,
EP-22,Keller2012,Condition B (Abstract),1,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Keller2012__CondB_Abstract.md,3e90eed196c08bbe77005db821a967baeb8ef3d4304aeeff107eb34d4488c0ba,PREPARED_UNEXECUTED,
EP-23,Keller2012,Condition B (Abstract),2,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Keller2012__CondB_Abstract.md,3e90eed196c08bbe77005db821a967baeb8ef3d4304aeeff107eb34d4488c0ba,PREPARED_UNEXECUTED,
EP-24,Keller2012,Condition B (Abstract),3,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Keller2012__CondB_Abstract.md,3e90eed196c08bbe77005db821a967baeb8ef3d4304aeeff107eb34d4488c0ba,PREPARED_UNEXECUTED,
EP-25,Keller2012,Condition C (Masked),1,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Keller2012__CondC_Masked.md,5b5a95d55551fa53aabb9b301b1bb12f52223831bdf6461e5d75baf9e3c9b504,PREPARED_UNEXECUTED,
EP-26,Keller2012,Condition C (Masked),2,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Keller2012__CondC_Masked.md,5b5a95d55551fa53aabb9b301b1bb12f52223831bdf6461e5d75baf9e3c9b504,PREPARED_UNEXECUTED,
EP-27,Keller2012,Condition C (Masked),3,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Keller2012__CondC_Masked.md,5b5a95d55551fa53aabb9b301b1bb12f52223831bdf6461e5d75baf9e3c9b504,PREPARED_UNEXECUTED,
EP-28,Furutachi2024,Condition A (Full),1,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Furutachi2024__CondA_Full.md,73211329b15cd528b8ed67a092e60c37a94050d0a8d9c0e76eded9178c110fa4,PREPARED_UNEXECUTED,
EP-29,Furutachi2024,Condition A (Full),2,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Furutachi2024__CondA_Full.md,73211329b15cd528b8ed67a092e60c37a94050d0a8d9c0e76eded9178c110fa4,PREPARED_UNEXECUTED,
EP-30,Furutachi2024,Condition A (Full),3,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Furutachi2024__CondA_Full.md,73211329b15cd528b8ed67a092e60c37a94050d0a8d9c0e76eded9178c110fa4,PREPARED_UNEXECUTED,
EP-31,Furutachi2024,Condition B (Abstract),1,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Furutachi2024__CondB_Abstract.md,1b76dc1d5960bc9381babda4d3682c5150aef6fdd2669492c1d63ffbd58c89d0,PREPARED_UNEXECUTED,
EP-32,Furutachi2024,Condition B (Abstract),2,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Furutachi2024__CondB_Abstract.md,1b76dc1d5960bc9381babda4d3682c5150aef6fdd2669492c1d63ffbd58c89d0,PREPARED_UNEXECUTED,
EP-33,Furutachi2024,Condition B (Abstract),3,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Furutachi2024__CondB_Abstract.md,1b76dc1d5960bc9381babda4d3682c5150aef6fdd2669492c1d63ffbd58c89d0,PREPARED_UNEXECUTED,
EP-34,Furutachi2024,Condition C (Masked),1,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Furutachi2024__CondC_Masked.md,06e4583ebfae74170fcc1d9119e2f4a2558c09fe141c5da32bd5a95f7904d8eb,PREPARED_UNEXECUTED,
EP-35,Furutachi2024,Condition C (Masked),2,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Furutachi2024__CondC_Masked.md,06e4583ebfae74170fcc1d9119e2f4a2558c09fe141c5da32bd5a95f7904d8eb,PREPARED_UNEXECUTED,
EP-36,Furutachi2024,Condition C (Masked),3,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Furutachi2024__CondC_Masked.md,06e4583ebfae74170fcc1d9119e2f4a2558c09fe141c5da32bd5a95f7904d8eb,PREPARED_UNEXECUTED,
EP-37,Chao2018,Condition A (Full),1,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Chao2018__CondA_Full.md,6784a9a646fc81d437c21938a819e96280abbcfcd73e5b1fdec7b793f3035eac,PREPARED_UNEXECUTED,
EP-38,Chao2018,Condition A (Full),2,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Chao2018__CondA_Full.md,6784a9a646fc81d437c21938a819e96280abbcfcd73e5b1fdec7b793f3035eac,PREPARED_UNEXECUTED,
EP-39,Chao2018,Condition A (Full),3,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Chao2018__CondA_Full.md,6784a9a646fc81d437c21938a819e96280abbcfcd73e5b1fdec7b793f3035eac,PREPARED_UNEXECUTED,
EP-40,Chao2018,Condition B (Abstract),1,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Chao2018__CondB_Abstract.md,070c7457a5c45bbe9b49140951461930bd19c89699c0beaab6ea17cfb4f519b9,PREPARED_UNEXECUTED,
EP-41,Chao2018,Condition B (Abstract),2,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Chao2018__CondB_Abstract.md,070c7457a5c45bbe9b49140951461930bd19c89699c0beaab6ea17cfb4f519b9,PREPARED_UNEXECUTED,
EP-42,Chao2018,Condition B (Abstract),3,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Chao2018__CondB_Abstract.md,070c7457a5c45bbe9b49140951461930bd19c89699c0beaab6ea17cfb4f519b9,PREPARED_UNEXECUTED,
EP-43,Chao2018,Condition C (Masked),1,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Chao2018__CondC_Masked.md,ac20514b8b7c514589c3eb910ca031260860faeb92dde4dc139de5fa1c774eea,PREPARED_UNEXECUTED,
EP-44,Chao2018,Condition C (Masked),2,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Chao2018__CondC_Masked.md,ac20514b8b7c514589c3eb910ca031260860faeb92dde4dc139de5fa1c774eea,PREPARED_UNEXECUTED,
EP-45,Chao2018,Condition C (Masked),3,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Chao2018__CondC_Masked.md,ac20514b8b7c514589c3eb910ca031260860faeb92dde4dc139de5fa1c774eea,PREPARED_UNEXECUTED,
EP-46,Bastos2020,Condition A (Full),1,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Bastos2020__CondA_Full.md,6770829da1400735e64ddfb44bcd51fa0c88bdb359430811a857ac68f4d629f2,PREPARED_UNEXECUTED,
EP-47,Bastos2020,Condition A (Full),2,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Bastos2020__CondA_Full.md,6770829da1400735e64ddfb44bcd51fa0c88bdb359430811a857ac68f4d629f2,PREPARED_UNEXECUTED,
EP-48,Bastos2020,Condition A (Full),3,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Bastos2020__CondA_Full.md,6770829da1400735e64ddfb44bcd51fa0c88bdb359430811a857ac68f4d629f2,PREPARED_UNEXECUTED,
EP-49,Bastos2020,Condition B (Abstract),1,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Bastos2020__CondB_Abstract.md,fcdcfb20c1cf44ffd1e655d04406f747d040687b83231509146c26601e4ec100,PREPARED_UNEXECUTED,
EP-50,Bastos2020,Condition B (Abstract),2,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Bastos2020__CondB_Abstract.md,fcdcfb20c1cf44ffd1e655d04406f747d040687b83231509146c26601e4ec100,PREPARED_UNEXECUTED,
EP-51,Bastos2020,Condition B (Abstract),3,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Bastos2020__CondB_Abstract.md,fcdcfb20c1cf44ffd1e655d04406f747d040687b83231509146c26601e4ec100,PREPARED_UNEXECUTED,
EP-52,Bastos2020,Condition C (Masked),1,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Bastos2020__CondC_Masked.md,f6a5ae615a0fca92567056657215ec5c7286ee81e691002e586605b6b28a6de5,PREPARED_UNEXECUTED,
EP-53,Bastos2020,Condition C (Masked),2,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Bastos2020__CondC_Masked.md,f6a5ae615a0fca92567056657215ec5c7286ee81e691002e586605b6b28a6de5,PREPARED_UNEXECUTED,
EP-54,Bastos2020,Condition C (Masked),3,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Bastos2020__CondC_Masked.md,f6a5ae615a0fca92567056657215ec5c7286ee81e691002e586605b6b28a6de5,PREPARED_UNEXECUTED,
